film_id,title,release_year,poster_downloaded,tmdb_id,poster_path,filename
44,Zootrópolis 2,2025,True,1084242,/4fRdfQPjHiuDSkzaxFAV44k7Iem.jpg,0044_Zootrópolis_2.jpg
45,Vacaciones para matar,1980,True,28322,/q05X1TcL8ZHdGzznx7I8EjdYFnU.jpg,0045_Vacaciones_para_matar.jpg
46,Mortal Game,2025,True,1426822,/iCvucorbs3hFqWshDbLe0fHzB71.jpg,0046_Mortal_Game.jpg
47,Acero puro,2011,True,39254,/gqjKG4Z24pjYxcOfCd9p6WAnYlG.jpg,0047_Acero_puro.jpg
48,Cadena perpetua,1994,True,278,/uRRTV7p6l2ivtODWJVVAMRrwTn2.jpg,0048_Cadena_perpetua.jpg
49,La fotógrafa,2025,True,1571594,/95pZ9yB5SABddzaINITvZd7SvER.jpg,0049_La_fotógrafa.jpg
50,After: Almas perdidas,2021,True,744275,/cAvUp7ngPyuhx1nLjmCOTCBNo91.jpg,0050_After__Almas_perdidas.jpg
51,Perversa adicción,2014,True,235271,/oyxiBAFDXVgy8iUFPLksWwUWtEA.jpg,0051_Perversa_adicción.jpg
52,देऊळ बँड 2,2026,True,1699574,/89n9cfc5dm0kdkABmDJalzveEwU.jpg,0052_द_ऊळ_ब_ड_2.jpg
53,Interstellar,2014,True,157336,/9cTfZWP5TfdnmAjiD6ZBXWIJ7O9.jpg,0053_Interstellar.jpg
54,En la zona gris,2026,True,1122573,/yfgquGqeT6DtdsIzPPzTLRABBy0.jpg,0054_En_la_zona_gris.jpg
55,Las damas primero,2026,True,1368881,/yNFYn8UqNVV8BX8X0WXcGLH9A9P.jpg,0055_Las_damas_primero.jpg
56,La leyenda de Aang: El último Airbender,2026,True,980431,/iMsORWhD8MawINagL6kvpDVAtS.jpg,0056_La_leyenda_de_Aang__El_último_Airbender.jpg
57,Ne Zha 2,2025,True,980477,/jz5sGlPGf0cWZ0uJPDc8cSjjFcZ.jpg,0057_Ne_Zha_2.jpg
58,7 كلاب,2026,True,1316427,/sqtFKaktHBb52pR3jygsjDAPJ1o.jpg,0058_7_كلاب.jpg
59,La asistenta,2025,True,1368166,/tMEu0gniT4zfcyDF5KMjof0DMog.jpg,0059_La_asistenta.jpg
