film_id,title,release_date,vote_average,overview,popularity
460465,Mortal Kombat,2021-04-07,7.036,Un boxeador fracasado descubre un secreto familiar que lo lleva a un torneo místico llamado Mortal Kombat donde se encuentra con un grupo de guerreros que luchan hasta la muerte para salvar los reinos del malvado hechicero Shang Tsung.,125.3647
249397,Nymphomaniac. Volumen 2,2013-12-25,6.712,"Historia de una ninfómana contada por ella misma. Una fría noche invernal, un viejo solterón encuentra en un callejón a una joven herida y casi inconsciente. Después de recogerla y cuidarla, siente curiosidad por saber cómo pudo haber llegado a semejante situación; escucha atentamente el relato que ella hace de su vida, una vida llena de conflictos y turbias relaciones.",139.3247
1510339,ಮಾರ್ಕ್,2025-12-25,4.0,,141.0003
1367220,கருப்பு,2026-05-14,7.364,,133.5094
1390300,Over Your Dead Body,2026-04-24,6.772,"Una pareja con problemas se dirige a una cabaña remota supuestamente para reconectar, pero cada uno tiene planes secretos para matar al otro. Remake del film noruego de 2021 'El viaje', de Tommy Wirkola.",127.4644
44980,Zero WOMAN ＩＩ　警視庁０課の女,1995-09-05,5.0,,115.9063
1327819,Hoppers,2026-03-04,8.2,"Una amante de los animales aprovecha la oportunidad de utilizar una tecnología que coloca su conciencia en un castor robótico, descubriendo misterios dentro del mundo animal que van más allá de lo que podría haber imaginado.",122.1005
11012,Herida,1992-12-02,6.555,"Peligrosa aventura de amor y sexo entre un hombre maduro y la prometida de su hijo. Él es un respetable miembro del Parlamento, pero está dispuesto a dejarlo todo por ella; ella, calculadora y pragmática, está decidida a casarse con su novio.",119.1866
1311031,Guardianes de la noche: Kimetsu no Yaiba La fortaleza infinita,2025-07-18,7.728,El Cuerpo de Cazadores de Demonios se enfrenta a los Doce Kizuki restantes antes de enfrentarse a Muzan en el Castillo del Infinito para derrotarlo de una vez por todas.,108.0374
186745,El amor violado,1978-01-10,5.6,Cuatro hombres violan una noche a una enfermera en Grenoble. La mujer cree que jamás se recuperará del trauma. Sigue el consejo de una amiga y presenta una demanda.,123.8343
1472951,Dura de matar,2026-04-10,5.2,"En una ciudad invadida por el crimen, la agente del gobierno Lily Chen se ve obligada a elegir entre su deber y su familia cuando secuestran a su marido y la chantajean para que asesine a criminales de alto nivel para salvarlo. A medida que se adentra en el submundo criminal, la implacable búsqueda de justicia de Lily desenmaraña una red de corrupción que la llevará a tomar una decisión final que cambiará su mundo para siempre.",106.7725
1318447,Depredador dominante,2026-04-24,6.736,Una mujer en duelo se adentra en la naturaleza de Australia para ponerse a prueba y queda atrapada en un juego mortal con un astuto asesino que la considera su presa.,102.9897
1297842,GOAT: Como cabras,2026-02-11,8.12,"Will es una pequeña cabra con grandes sueños que recibe una oportunidad única en la vida para unirse a los profesionales y jugar al rugebol, un deporte de alta intensidad, mixto y de contacto total dominado por los animales más rápidos y feroces del mundo. A los nuevos compañeros de equipo de Will no les entusiasma tener a una cabrita en su plantilla, pero Will está decidido a revolucionar el deporte y demostrar de una vez por todas que «¡los pequeños saben jugar!».",102.61
936075,Michael,2026-04-22,7.57,"El viaje de Michael Jackson más allá de la música, desde el descubrimiento de su extraordinario talento como líder de los Jackson Five hasta convertirse en una visionaria estrella cuya ambición creativa despertó un incansable afán por consagrarse como el mayor icono de la industria del entretenimiento.",100.8609
1252051,Disforia,2025-09-20,4.833,"Esther y Tomás son un matrimonio joven que huye de los saqueos de su ciudad y de la crisis general del país, que está sumido en el caos. Junto a su hija Say, de ocho años, se dirigen hacia la casa de campo donde veraneaban en tiempos mejores. Su plan es venderla y huir a Francia. Hay una compradora interesada con la que han quedado para cerrar el acuerdo. Pero su plan no saldrá como esperaban.",81.3641
1291608,Patriotismo,2025-12-05,7.155,"A principios de los 2000, en la India, un operativo encubierto se infiltra en el submundo de Karachi para desmantelar una violenta red criminal. Entre traiciones al estilo shakesperiano y complejas operaciones de espionaje, el patriotismo se pone a prueba hasta el límite.",85.242
1239134,भूत बंगला,2026-04-16,6.5,,85.5625
1431071,System,2026-05-22,7.5,Las vidas de la fiscal privilegiada Neha Rajvansh y la humilde taquígrafa Sarika Rawat chocan en un sistema en el que el poder moldea la verdad y las obliga a cuestionar el significado de la justicia.,73.1613
1292415,Beast (La bestia),2026-04-10,6.228,"Con la ayuda de su antiguo entrenador, un campeón de MMA retirado e invicto regresa a la jaula para vengar la muerte de su hermano y resolver sus problemas financieros.",80.0016
848116,रॉकी और रानी की प्रेम कहानी,2023-07-28,6.201,,90.3712
1084242,Zootrópolis 2,2025-11-26,7.648,"Después de resolver el caso más importante en la historia de Zootrópolis, los policías novatos Judy Hopps y Nick Wilde descubren que su asociación no es tan sólida como pensaban cuando el Jefe Bogo les ordena unirse al programa de consejería ""Compañeros en Crisis"". Pero no pasa mucho tiempo para que su asociación se ponga a prueba al máximo, cuando la llegada de Gary, la serpiente, pone la ciudad patas arriba.",80.9678
28322,Vacaciones para matar,1980-03-20,4.969,"Un fugitivo trata de recuperar el botí­n de un robo que había escondido en una casa de montaña antes de ser detenido. Allí en lugar de pasar el fin de semana solos un matrimonio y la joven hermana de la mujer serán espiados a la espera de aprovechar la oportunidad idónea para recuperar los bienes robados, descubre sus secretos más morbosos antes de agredirlos para recuperar su botín.",80.3941
1426822,Mortal Game,2025-02-03,4.917,"Un grupo de cazadores viaja a una isla remota para rastrear a una criatura legendaria. Al descubrir que su guía los ha traicionado para usarlos como carnada, quedan atrapados y a merced de un depredador inteligente que los acecha uno a uno.",72.6178
39254,Acero puro,2011-09-28,7.094,"En un futuro no muy lejano, el boxeo es robótico: en los combates ya no se enfrentan seres humanos, sino robots humanoides, sofisticadas máquinas diseñadas para luchar. Charlie Kenton, un antiguo púgil que casi llegó a alcanzar la gloria, está pasando una mala racha como promotor de combates. Un día, encuentra un viejo robot desechado y, al comprobar que es un gran boxeador, decide entrenarlo.",79.8872
278,Cadena perpetua,1994-09-23,8.722,"Acusado del asesinato de su mujer, Andrew Dufresne, tras ser condenado a cadena perpetua, es enviado a la prisión de Shawshank. Con el paso de los años conseguirá ganarse la confianza del director del centro y el respeto de sus compañeros presidiarios, especialmente de Red, el jefe de la mafia de los sobornos.",75.682
1571594,La fotógrafa,2025-10-30,4.0,"Inna, una joven fotógrafa post mortem, es contratada para fotografiar el cuerpo sin vida de Alejandra en un orfanato al norte de España. Pero en su intento por documentar la tragedia de Alejandra, Inna descubre algo aterrador que se esconde tras las paredes de aquel lugar.",81.2033
744275,After: Almas perdidas,2021-09-01,7.004,"Cuando Tessa toma la decisión más importante de su vida, todo cambia. Los secretos que salen a la luz sobre su familia y la de Hardin ponen en peligro su relación y su futuro juntos. La vida de Tessa empieza a romperse en pedazos y ya nada será como antes. Aunque sabe que Hardin la quiere, estas dos almas perdidas están rodeadas de celos, odio... y perdón. Hasta ahora, el amor era suficiente para mantener su relación a flote, pero ¿de verdad sigue mereciendo la pena?",79.0071
235271,Perversa adicción,2014-10-10,5.918,"La adicción al sexo de Zoe Reynard, una exitosa mujer de negocios, amenaza con arruinar su vida familiar junto a su marido y sus dos hijos.",79.5455
1699574,देऊळ बँड 2,2026-05-21,0.0,,76.1905
157336,Interstellar,2014-11-05,8.5,Un grupo de exploradores hacen uso de un agujero de gusano recientemente descubierto para superar las limitaciones de los viajes espaciales tripulados y vencer las inmensas distancias que tiene un viaje interestelar.,72.7369
1122573,En la zona gris,2026-05-13,6.6,"Un equipo encubierto de agentes de élite viven en la sombra, tan cómodos manejando el poder y la influencia como armas automáticas y explosivos de gran potencia. Cuando un déspota roba una fortuna de mil millones de dólares, son enviados a recuperarla en lo que para cualquier otro sería una misión suicida. Lo que comienza como un atraco imposible empeora aún más y se convierte en una guerra total de estrategia, engaño y supervivencia.",73.2026
1368881,Las damas primero,2026-05-21,6.021,"Un mujeriego engreído pero encantador despierta en un mundo paralelo donde mandan las mujeres... y su vida de lujo, ligoteo y poder se va al garete.",64.3379
980431,La leyenda de Aang: El último Airbender,2026-10-09,0.0,"Película de animación que seguirá a Aang y sus amigos, ahora como jóvenes adultos, varios años después de los acontecimientos del final de 'Avatar: The Last Airbender'.",68.4181
980477,Ne Zha 2,2025-01-29,8.162,"Cuando los cuerpos de los dos amigos, Aobing y Nezha, están a punto de ser destruidos, se les permite que sus almas sigan existiendo. Su maestro, Taiyi Zhenren, restaura sus cuerpos con la ayuda de una flor de loto. Después de esto, Nezha parte en busca de enfrentar al Rey Dragón del Mar del Este, Ao Guang.",53.8302
1316427,7 كلاب,2026-05-27,4.333,,67.5942
1368166,La asistenta,2025-12-18,7.25,"Una joven (Sydney Sweeney), con un pasado complicado comienza a trabajar como asistenta en la lujosa casa de los Winchester. A medida que se adentra en la vida de la familia, descubrirá secretos oscuros que pondrán en peligro su seguridad, pero quizá ya sea demasiado tarde... Adaptación de la novela de Freida McFadden.",66.6006
454639,He-Man y los masters del universo,2026-06-03,7.889,"En las regiones más lejanas del espacio, el reino de Eternia está amenazado por el villano Skeletor y sus traviesos ejércitos de oscuridad. Para salvar el reino de su padre y proteger las vidas de sus seres queridos, el joven príncipe Adam tiene que recuperar una espada mítica y convertirse en el legendario guerrero conocido como ""He-Man"".",67.9524
441168,La doble vida de Miriam,2017-02-11,5.843,"Cuando un cambio de circunstancias deja a Miriam incapaz de pagar sus estudios universitarios, toma una decisión sorprendente: comenzar a actuar en películas para adultos, usando el seudónimo Belle Knox. Miriam se encuentra con su familia y sus amigos en la escuela, manteniendo su doble vida en secreto. Pero pronto se difundieron rumores y Miriam se convirtió en el sujeto de ataques en línea viciosos y atención no deseada. Miriam responde: habla con los medios de comunicación, diciendo que su nueva línea de trabajo le da poder como feminista. Pero su postura confiada tiene consecuencias no deseadas. Miriam es rechazada por su familia conservadora y sus colegas en el mundo del cine adulto. Una decisión impulsiva ha salido rápidamente fuera de control y los problemas de Miriam apenas están comenzando.",63.6504
1157008,Dime lo que quieres (de verdad),2023-07-27,7.629,"Diego y Emilia son una pareja conservadora con 16 años de matrimonio que ha perdido la chispa, hasta que Tomás y Betina los rescatan y los introducen en el mundo prohibido, cambiando lo que saben sobre la intimidad, las relaciones y el sexo.",66.5754
1242265,Cuenta atrás,2026-03-23,6.42,"Unos obreros de la construcción encuentran una bomba de la Segunda Guerra Mundial sin explotar en pleno centro de Londres, lo que les obliga a evacuar la ciudad para salvar a la multitud de transeúntes inocentes que se encuentran en las inmediaciones. Unos ladrones oportunistas aprovecharán el caos para llevar a cabo un elaborado atraco.",58.9148
1330021,Criaturas luminosas,2026-05-07,8.555,"En este drama, basado en el bestseller homónimo, una viuda forja un vínculo con un pulpo muy listo y un joven a la deriva mientras trabaja de noche en un pequeño acuario.",59.901
879945,L'homme inconnu,2021-10-16,7.8,,73.5147
1632181,Socias por accidente,2026-03-12,9.11,"Alexa, una elegante relacionista pública, y Regina, una entrenadora de carácter fuerte y espíritu independiente, llevan vidas completamente opuestas hasta que un mismo hombre entra en su historia. Tras una coincidencia inesperada, ambas descubren que fueron engañadas por la misma persona y que sus caminos están más entrelazados de lo que imaginaban. Obligadas a unir fuerzas, Alexa y Regina pasarán de la desconfianza a una alianza improbable que pondrá a prueba sus diferencias, sus decisiones y su idea de lo que significa apoyarse entre mujeres.",58.6116
1290821,Shelter: El Protector,2026-01-28,7.623,"Un recluso en una remota isla escocesa rescata a una niña del mar, desencadenando una peligrosa secuencia de acontecimientos.",64.6299
840464,Greenland 2,2026-01-07,6.438,"Después de sobrevivir al fin del mundo por la caída de un cometa, Jeff Garrity, junto con su mujer Allison y su hijo Nathan, deciden abandonar el búnker que les ha mantenido a salvo cinco años para buscar una zona en Europa que podría ser habitable. Así, el último refugio es el principio de un nuevo comienzo. Juntos emprenderán un viaje donde los desastres naturales y los humanos que sobrevivieron han convertido el mundo en un auténtico infierno.",60.9098
1103473,ಕೆಡಿ - ದಿ ಡೆವಿಲ್,2026-04-30,5.0,,70.4246
1639398,Psicópata: El Asesino del Conejo Blanco,2026-03-19,7.425,,56.3331
1663082,The Last Supper,2025-10-23,10.0,"En una casa desierta, un hombre misterioso saborea un exquisito menú en compañía de un huésped invisible. Desde esta espeluznante mesa, se revelan una sucesión de historias aterradoras, cada una de las cuales explora los miedos primitivos al hambre, la carne y la supervivencia.",57.1736
1628367,La fuerza del deber,2026-05-15,6.471,"Con la seguridad de su familia en juego y rodeado de amenazas, un policía deberá decidir hasta dónde está dispuesto a llegar para cumplir con su deber.",56.4318
1196067,Worldbreaker,2025-10-30,6.028,"2030. Una biotoxina ha destrozado la civilización, transformando a los humanos en bestias letales conocidas como ""devoradores"". Para asegurar su seguridad, un hombre (Luke Evans) busca refugio en una isla desierta con su hija. Pero la llegada de un náufrago desencadena un enfrentamiento mortal. Padre e hija deben unir fuerzas para sobrevivir en un mundo donde ningún lugar es seguro.",54.768
1242898,Predator: Badlands,2025-11-05,7.759,Un joven Predator rechazado por su clan encuentra un aliado inesperado en Thia y emprende un peligroso viaje en busca del adversario definitivo.,61.4801
1375646,Colony,2026-05-21,6.6,"El profesor Se-jeong es arrojado a una pesadilla cuando un  virus en rápida mutación se libera durante una conferencia de  biotecnología, lo que lleva a las autoridades a sellar las  instalaciones. Atrapado dentro sin escapatoria, Se-jeong, junto a un  pequeño grupo de supervivientes, debe luchar por mantenerse con vida  mientras los infectados sufren transformaciones horribles.",60.3331
1301421,Las ovejas detectives,2026-04-30,7.6,"Cada noche, un pastor lee en voz alta un asesinato misterioso, fingiendo que sus ovejas pueden entenderlo. Cuando lo encuentran muerto, las ovejas se dan cuenta enseguida de que ha sido un asesinato y creen saber cómo resolverlo.",59.9913
78192,Michael Jackson. La vida de un ídolo,2011-11-02,8.137,"""Michael Jackson: La vida de un Ídolo"" muestra la vida del cantante detrás de las cámaras, desde su infancia con los Jackson 5, pasando por su consagración como solista a nivel mundial y recordando los momentos previos a su repentina muerte en 2009. Dirigido por Andrew Eastel y producido por un amigo íntimo de la infancia de Michael Jackson, David Gest, “Michael Jackson: la vida de un ídolo” supone para Katherine Jackson la primera oportunidad de ofrecer su versión de la historia sobre su hijo: su infancia en Gary, su ciudad natal; su apoyo durante los juicios a los que se enfrentó Michael; y cómo salieron adelante tras estos capítulos.",55.735
64641,La colegiala se enamora,1974-02-28,4.7,"Una joven es el objeto de deseo de todos sus compañeros, uno de los cuales le ofrece una gran suma de dinero por sus favores, pero ella lo rechaza por estar enamorada de un profesor.",56.5896
1630423,Sangre asesina,2026-05-06,8.627,"A una mujer le espera una bala con su nombre por culpa de su extraño grupo sanguíneo, pero encuentra cobijo en los brazos del asesino al que ama, y juntos luchan por sobrevivir.",53.2773
1275779,El día de la revelación,2026-06-10,0.0,"Si descubrieras que no estamos solos, si alguien te abriera los ojos y te lo demostrase, ¿te asustarías?",58.475
1273221,Scary Movie,2026-06-03,5.8,"Veintiséis años después de conseguir escapar de un asesino enmascarado sospechosamente familiar, el Core Four están de vuelta en el punto de mira del asesino y ninguna película de terror está a salvo.",56.1572
1084244,Toy Story 5,2026-06-17,0.0,"Buzz, Woody, Jessie y el resto de la pandilla tienen un trabajo exponencialmente más difícil cuando se enfrentan a esta nueva amenaza para la hora de jugar: la tecnología.",55.9036
1002398,Donselya,2024-10-29,6.591,,54.6653
24428,Los Vengadores,2012-04-25,8.035,"Cuando un enemigo inesperado surge como una gran amenaza para la seguridad mundial, Nick Fury, director de la Agencia SHIELD, decide reclutar a un equipo para salvar al mundo de un desastre casi seguro.",49.7487
1325734,El drama,2026-03-26,7.0,"Una pareja, en los días previos a su boda, se enfrenta a una crisis cuando unas inesperadas revelaciones desbaratan lo que uno de ellos creía saber sobre el otro.",54.4453
1281425,Cisza nocna,2024-10-31,4.7,,46.5538
299536,Vengadores: Infinity War,2018-04-25,8.236,"El todopoderoso Thanos ha despertado con la promesa de arrasar con todo a su paso, portando el Guantelete del Infinito, que le confiere un poder incalculable. Los únicos capaces de pararle los pies son los Vengadores y el resto de superhéroes de la galaxia, que deberán estar dispuestos a sacrificarlo todo por un bien mayor. Capitán América e Ironman deberán limar sus diferencias, Black Panther apoyará con sus tropas desde Wakanda, Thor y los Guardianes de la Galaxia e incluso Spider-Man se unirán antes de que los planes de devastación y ruina pongan fin al universo. ¿Serán capaces de frenar el avance del titán del caos?",50.4053
1198994,SEND HELP (Enviad ayuda),2026-01-22,7.043,"Después de que un accidente de avión deje varados en una isla remota a una competente empleada y a su insoportable jefe, ella deberá utilizar sus habilidades de supervivencia para mantenerlos a ambos con vida, a pesar de su difícil relación.",51.8299
755898,La guerra de los mundos,2025-07-29,4.105,"Will Radford, un destacado analista de ciberseguridad, pasa sus días rastreando posibles amenazas a la seguridad nacional a través de un programa de vigilancia masiva. Un ataque de una entidad desconocida le lleva a cuestionarse si el gobierno le está ocultando algo a él... y al resto del mundo.",56.11
19995,Avatar,2009-12-16,7.605,"Año 2154. Jake Sully, un exmarine en silla de ruedas, es enviado al planeta Pandora, donde se ha creado el programa Avatar, gracias al cual los seres humanos pueden controlar de forma remota un cuerpo biológico con apariencia y genética de la especie nativa. Pronto se encontrará con la encrucijada entre seguir las órdenes de sus superiores o defender al mundo que le ha acogido y siente como suyo.",48.9647
1246049,Drácula,2025-07-30,7.129,"Tras una devastadora pérdida, el príncipe Vlad II, conde Drácula (Caleb Landy Jones), renuncia a Dios y es maldecido a la vida eterna, condenado a vagar solitario a lo largo de los siglos. Este es el relato sobre la historia de amor jamás contada del infame vampiro, que desafiará al destino y la mortalidad en busca de su amor perdido.",50.4476
847742,ദൃശ്യം 3,2026-05-21,7.0,,49.9584
1266127,Noche de bodas 2,2026-03-19,7.698,"Momentos después de sobrevivir a un ataque de la familia Le Domas, Grace descubre que ha alcanzado el siguiente nivel del juego, y esta vez acompañada por su hermana Faith, con quien mantiene una relación distante. Grace tiene una oportunidad para sobrevivir, mantener con vida a su hermana y reclamar el Alto Trono del Consejo que controla el mundo. Cuatro familias rivales la persiguen para hacerse con el trono, y quien gane lo gobernará todo.",52.6305
204407,Bosco d'amore,1981-09-08,4.667,,48.8375
1010581,Culpa mía,2023-06-08,7.736,"Noah debe dejar su ciudad, novio y amigos para mudarse a la mansión de William Leister, el flamante y rico marido de su madre Rafaela. Por otro lado, con 17 años, orgullosa e independiente, Noah se resiste a vivir en una mansión rodeada de lujo. Allí conoce a Nick, su nuevo hermanastro, y el choque de sus fuertes personalidades se hace evidente desde el primer momento.",52.8768
1662414,Ven a volar conmigo,2026-05-15,6.421,"Durante la edad de oro de la aviación, un joven entusiasta de los aviones y su madre emprenden un viaje cruzando todo el país hasta Hollywood – y un simple vuelo se transforma en la travesía de su vida.",46.685
1515729,Blast,2026-05-28,7.0,,59.6616
337167,Cincuenta sombras liberadas,2018-01-17,6.675,"Creyendo que han dejado atrás las sombras del pasado, Christian y Anastasia disfrutan de su relación y de su vida llena de lujos. Pero justo cuando Ana empieza a relajarse, aparecen nuevas amenazas que ponen en riesgo su felicidad.",48.2108
1247165,Raja Shivaji,2026-05-01,9.0,"Película basada en la vida de uno de los más grandes reyes guerreros de la India, Chhatrapati Shivaji Maharaj, quien se alzó contra poderosas fuerzas para sentar las bases del Swarajya. Vive este gran espectáculo histórico, creado para la pantalla grande.",46.1558
1314481,El diablo viste de Prada 2,2026-04-29,6.615,"Sigue la lucha de Miranda Priestly contra Emily Charlton, su ex asistente convertida en ejecutiva rival, mientras compiten por los ingresos por publicidad en medio de la decadencia de los medios impresos y Miranda se acerca a la jubilación.",48.2774
62029,Bingo Bongo,1982-12-23,5.707,"Bingo Bongo ha sido criado por monos en la jungla. Después de ser capturado, enjaulado y enviado de vuelta a la civilización, empieza a trabajar con una bella antropóloga que le enseña todo lo que necesita saber para hablar, comer bien y enamorarse.",38.1948
1292695,Te van a matar,2026-03-23,7.002,"Una mujer acepta un trabajo como ama de llaves en un rascacielos de Nueva York, sin conocer el historial de desapariciones del edificio. Pronto se da cuenta de que la comunidad está rodeada de misterio.",44.6487
1579,Apocalypto,2006-12-07,7.629,"Historia ambientada en la época del imperio maya. Cuando la idílica existencia de los mayas es brutalmente interrumpida por el ataque de una fuerza invasora, un hombre emprende un arriesgado viaje a un mundo regido por el miedo y la opresión en el que le espera un incierto final. Debido a un giro del destino y espoleado por el amor a su esposa y a su familia, emprenderá el regreso a su hogar en un desesperado esfuerzo por preservar su forma de vida...",44.3378
1265609,Máquina de guerra,2026-02-12,7.349,"En una última misión agotadora durante el entrenamiento para ser ranger, un ingeniero de combate debe liderar a su unidad contra una gigantesca máquina asesina de otro mundo.",45.3613
1669051,Kesong Puti,2026-04-24,5.5,,45.7064
48650,Habitación en Roma,2010-05-07,6.41,"Verano de 2008. Se inspira en el film 'En la cama', del chileno Matías Bize. En un hotel del centro de Roma se conocen una rusa y una española. Al día siguiente Alba volverá a España y Natasha, a Rusia. En la habitación del hotel se respira una atmósfera cargada de erotismo y sensualidad. Entre ellas nace un sentimiento nuevo que ambas aceptan. Durante doce horas, las dos mujeres se confían sus vidas, hablan de sus compromisos y del amor sincero por sus respectivas parejas.",44.9691
1159559,Scream 7,2026-02-25,6.141,"Cuando un nuevo asesino Ghostface aparece en el tranquilo pueblo donde Sidney Prescott ha construido una nueva vida, sus peores miedos se hacen realidad cuando su hija se convierte en el siguiente objetivo. Decidida a proteger a su familia, Sidney debe enfrentarse a los horrores de su pasado para poner fin a la masacre de una vez por todas.",41.5539
